Date,Close/Last,Open,High,Low
11/05/2021,2428.21,2425.20,2452.18,2423.69
11/04/2021,2447.30,2447.30,2454.32,2440.65
11/03/2021,2429.65,2429.65,2429.65,2401.12
11/02/2021,2415.37,2415.37,2421.72,2399.08
11/01/2021,2412.38,2412.38,2415.89,2401.63
10/29/2021,2399.72,2384.40,2405.98,2375.29
10/28/2021,2405.03,2405.03,2405.11,2387.99
10/27/2021,2402.89,2402.89,2421.16,2395.89
10/26/2021,2418.72,2418.72,2420.73,2402.34
10/25/2021,2409.25,2409.25,2423.76,2398.65
10/22/2021,2420.60,2421.22,2424.55,2388.78
10/21/2021,2392.17,2392.17,2393.83,2375.90
10/20/2021,2391.34,2391.34,2391.51,2374.48
10/19/2021,2384.83,2384.83,2386.39,2364.28
10/18/2021,2365.28,2365.28,2373.02,2354.26
10/15/2021,2369.88,2358.97,2369.88,2348.37
10/14/2021,2345.59,2345.59,2352.40,2335.91
10/13/2021,2329.68,2329.68,2332.17,2283.42
10/12/2021,2291.39,2291.39,2300.05,2260.30
10/11/2021,2283.75,2283.75,2286.02,2263.71
10/08/2021,2289.65,2296.50,2306.64,2286.68
10/07/2021,2299.97,2299.97,2303.20,2279.14
10/06/2021,2264.38,2264.38,2275.47,2238.37
10/05/2021,2286.64,2286.64,2286.67,2258.17
10/04/2021,2263.76,2263.76,2287.02,2262.62
10/01/2021,2279.30,2282.66,2290.19,2256.48
09/30/2021,2296.62,2296.62,2316.19,2287.25
09/29/2021,2288.42,2288.42,2311.70,2288.42
09/28/2021,2276.26,2276.26,2331.63,2276.26
09/27/2021,2337.56,2337.56,2375.11,2334.68
09/24/2021,2358.27,2351.95,2384.33,2351.27
09/23/2021,2388.89,2388.89,2396.09,2373.19
09/22/2021,2354.29,2354.29,2359.20,2341.88
09/21/2021,2335.32,2335.32,2341.90,2313.77
09/20/2021,2310.51,2310.51,2330.45,2291.10
09/17/2021,2352.50,2374.94,2397.35,2352.03
09/16/2021,2379.72,2379.72,2388.34,2363.62
09/15/2021,2365.80,2365.80,2386.32,2361.76
09/14/2021,2379.46,2379.46,2384.77,2370.37
09/13/2021,2378.13,2378.13,2390.28,2376.37
09/10/2021,2377.52,2390.17,2393.97,2376.21
09/09/2021,2389.96,2389.96,2398.99,2373.36
09/08/2021,2392.05,2392.05,2414.27,2389.32
09/07/2021,2424.64,2424.64,2434.92,2417.22
09/03/2021,2432.64,2420.48,2435.06,2420.48
09/02/2021,2424.35,2424.35,2425.39,2402.31
09/01/2021,2400.80,2400.80,2412.77,2393.25
08/31/2021,2388.28,2388.28,2428.50,2388.28
08/30/2021,2419.33,2419.33,2420.52,2406.80
08/27/2021,2412.68,2404.67,2415.16,2402.98
08/26/2021,2412.57,2412.57,2417.14,2403.40
08/25/2021,2413.23,2413.23,2420.00,2407.81
08/24/2021,2417.26,2417.26,2432.60,2412.85
08/23/2021,2425.89,2425.89,2425.94,2408.08
08/20/2021,2409.09,2393.94,2411.02,2376.84
08/19/2021,2387.54,2387.54,2402.21,2370.73
08/18/2021,2422.16,2422.16,2426.92,2412.89
08/17/2021,2417.45,2417.45,2420.42,2395.63
08/16/2021,2403.21,2403.21,2415.35,2397.82
08/13/2021,2420.33,2417.44,2422.40,2411.02
08/12/2021,2410.67,2410.67,2411.28,2402.06
08/11/2021,2405.73,2405.73,2408.14,2394.70
08/10/2021,2400.95,2400.95,2409.59,2398.39
08/09/2021,2397.51,2397.51,2399.55,2383.27
08/06/2021,2389.61,2391.56,2405.29,2387.81
08/05/2021,2409.30,2409.30,2411.84,2398.07
08/04/2021,2391.73,2391.73,2393.25,2365.08
08/03/2021,2358.05,2358.05,2363.92,2350.63
08/02/2021,2356.76,2356.76,2366.52,2345.62
07/30/2021,2347.67,2353.58,2354.88,2329.03
07/29/2021,2353.36,2353.36,2365.63,2350.66
07/28/2021,2349.74,2349.74,2350.93,2334.36
07/27/2021,2335.94,2335.94,2349.25,2328.57
07/26/2021,2352.71,2352.71,2357.12,2347.26
07/23/2021,2353.30,2347.76,2353.30,2333.99
07/22/2021,2335.80,2335.80,2336.42,2314.90
07/21/2021,2314.74,2314.74,2316.28,2294.24
07/20/2021,2282.30,2282.30,2292.35,2261.78
07/19/2021,2269.45,2269.45,2301.29,2261.99
07/16/2021,2307.16,2310.77,2323.54,2300.03
07/15/2021,2318.07,2318.07,2340.30,2313.91
07/14/2021,2338.68,2338.68,2339.53,2323.20
07/13/2021,2337.04,2337.04,2340.95,2323.79
07/12/2021,2328.88,2328.88,2328.90,2302.21
07/09/2021,2307.95,2293.06,2309.47,2289.93
07/08/2021,2291.20,2291.20,2312.54,2282.15
07/07/2021,2315.35,2315.35,2317.48,2298.47
07/06/2021,2288.85,2288.85,2306.78,2286.04
07/02/2021,2287.61,2281.25,2288.46,2269.37
07/01/2021,2271.60,2271.60,2277.71,2253.31
06/30/2021,2253.49,2253.49,2277.09,2245.44
06/29/2021,2267.47,2267.47,2273.33,2247.59
06/28/2021,2250.00,2250.00,2261.59,2250.00
06/25/2021,2250.10,2251.10,2253.76,2247.52
06/24/2021,2253.18,2253.18,2254.53,2228.71
06/23/2021,2225.54,2225.54,2255.34,2225.54
06/22/2021,2247.36,2247.36,2249.56,2231.71
06/21/2021,2240.57,2240.57,2241.27,2204.11
06/18/2021,2221.28,2229.98,2260.61,2220.17
06/17/2021,2248.13,2248.13,2253.34,2233.50
06/16/2021,2266.42,2266.42,2271.61,2258.21
06/15/2021,2260.46,2260.46,2276.90,2256.65
06/14/2021,2260.89,2260.89,2270.39,2253.47
06/11/2021,2252.65,2255.45,2260.38,2248.50
06/10/2021,2245.07,2245.07,2248.95,2230.79
06/09/2021,2243.74,2243.74,2244.91,2234.17
06/08/2021,2237.96,2237.96,2246.88,2224.80
06/07/2021,2234.92,2234.92,2240.90,2226.74
